scenario_id,agent_id,object_type,displacement_m,lateral_motion_m,max_speed_mps,mean_speed_mps,angle_span_deg,crossing,fast_agent,strong_turn,moving,case_risk
2d84b1ab55ab81d3,1621,cyclist,39.69160079027303,11.022979736328125,6.093464112605908,4.475436480144039,359.46598014540456,True,True,True,True,0.9618172138734877
f07589a399547917,2267,cyclist,25.828334646994634,19.825340270996094,4.74075617951738,3.815169788976883,359.2609147405025,True,True,True,True,0.9468232099019995
a200040e65ba224c,4827,cyclist,24.03844838571372,16.474365234375,7.498819834521818,6.687604376890826,137.1496258741963,False,True,True,True,0.8750163526522237
a200040e65ba224c,4825,cyclist,20.39673027336729,18.38818359375,8.171801389869607,6.808077849369733,117.54639023396435,False,True,True,True,0.874188558413103
f21c5ea7c094490b,1540,cyclist,33.31964079213641,14.402862548828125,10.922024341273058,5.3093166292819305,86.4764289884401,False,True,True,True,0.8720982376762997
140117c81b4ef9fb,4623,cyclist,38.437523414829535,35.044677734375,7.319648639292582,5.5762618126105945,114.25434314124443,False,True,True,True,0.8709684533193252
4f4bbc55ef30c3ea,5316,cyclist,21.57894461122784,21.5625,8.564465652160878,5.329379809023519,93.62669945706011,False,True,True,True,0.8681491006191735
3a7c04d2bd7807eb,4562,cyclist,27.354439526350927,25.6719970703125,6.872761318543677,4.978606351300415,112.3529092408079,False,True,True,True,0.8661574523103839
a200040e65ba224c,4829,cyclist,15.720927747879282,12.099853515625,7.912778537451831,6.875993132171597,129.67614921085482,False,True,True,True,0.8650098596398128
4a013cdb54b260bf,1667,cyclist,29.67572442968587,27.96142578125,6.6015665629899205,4.459944970613025,112.97262304294736,False,True,True,True,0.8640151683584574
a991619cfc4f2216,1989,cyclist,20.347035718402324,18.4775390625,5.972364359896613,3.9469698308235666,117.97957524991098,False,True,True,True,0.8553278820199567
1870b2208fe4ade9,141,cyclist,27.421492588876283,19.71435546875,5.231857975686113,3.494066022720344,142.4829520138928,False,True,True,True,0.8519311155346517
a4956b27f127a67c,5217,cyclist,26.498572014175327,24.48974609375,5.201579308246328,2.9314370463645245,125.06164831722812,False,True,True,True,0.8488174514769389
a067a3788873f5be,5049,cyclist,36.38526421023643,36.09130859375,6.3158355105885775,4.109971608976527,82.71199503233791,False,True,True,True,0.8464551584723422
750f17fb3ac9783d,2385,cyclist,43.17134089783248,43.1123046875,5.952278617705815,4.833225221817717,88.14658125734114,False,True,True,True,0.8460152376669858
